state,uf,population,latitude,longitude
Acre,AC,881935,-8.77,-70.55
Alagoas,AL,3337357,-9.62,-36.82
Amapá,AP,845731,1.41,-51.77
Amazonas,AM,4144597,-3.47,-65.1
Bahia,BA,14873064,-13.29,-41.71
Ceará,CE,9132078,-5.2,-39.53
Distrito Federal,DF,3015268,-15.83,-47.86
Espírito Santo,ES,4018650,-19.19,-40.34
Goiás,GO,7018354,-15.98,-49.86
Maranhão,MA,7075181,-5.42,-45.44
Mato Grosso,MT,3484466,-12.64,-55.42
Mato Grosso do Sul,MS,2778986,-20.51,-54.54
Minas Gerais,MG,21168791,-18.1,-44.38
Pará,PA,8602865,-3.79,-52.48
Paraíba,PB,4018127,-7.28,-36.72
Paraná,PR,11433957,-24.89,-51.55
Pernambuco,PE,9557071,-8.38,-37.86
Piauí,PI,3273227,-6.6,-42.28
Rio de Janeiro,RN,17264943,-5.81,-36.59
Rio Grande do Norte,RS,3506853,-30.17,-53.5
Rio Grande do Sul,RJ,11377239,-22.25,-42.66
Rondônia,RO,1777225,-10.83,-63.34
Roraima,RR,605761,1.99,-61.33
Santa Catarina,SC,7164788,-27.45,-50.95
São Paulo,SP,45919049,-22.19,-48.79
Sergipe,SE,2298696,-10.57,-37.45
Tocantins,TO,1572866,-9.46,-48.26
